Gene	Class	Druggable
ADRA1A	Adrenergic receptor	
ADRA1B	Adrenergic receptor	
ADRA1D	Adrenergic receptor	
ADRA2A	Adrenergic receptor	
ADRA2B	Adrenergic receptor	
ADRA2C	Adrenergic receptor	
ADRB1	Adrenergic receptor	
ADRB2	Adrenergic receptor	
ADRB3	Adrenergic receptor	
NPY1R	Neuropeptide receptor	
NPY2R	Neuropeptide receptor	
NPY4R	Neuropeptide receptor	
NPY5R	Neuropeptide receptor	
GALR1	Neuropeptide receptor	
GALR2	Neuropeptide receptor	
GALR3	Neuropeptide receptor	
SSTR1	Neuropeptide receptor	
SSTR2	Neuropeptide receptor	
SSTR3	Neuropeptide receptor	
SSTR4	Neuropeptide receptor	
SSTR5	Neuropeptide receptor	
TACR1	Neuropeptide receptor	
CALCR	Neuropeptide receptor	
CTR	Neuropeptide receptor	
CALCRL	Neuropeptide receptor	
RAMP1	Neuropeptide receptor	
RAMP2	Neuropeptide receptor	
RAMP3	Neuropeptide receptor	
NK1R	Neuropeptide receptor	
NK2R	Neuropeptide receptor	
NK3R	Neuropeptide receptor	
GRIA1	Glutamatergic receptor	
GRIA2	Glutamatergic receptor	
GRIA3	Glutamatergic receptor	
GRIA4	Glutamatergic receptor	
GRIN1	Glutamatergic receptor	
GRIN2A	Glutamatergic receptor	
GRIN2B	Glutamatergic receptor	
GRIN2C	Glutamatergic receptor	
GRIN2D	Glutamatergic receptor	
GRIN3A	Glutamatergic receptor	
GRIN3B	Glutamatergic receptor	
GRM1	Glutamatergic receptor	
GRM2	Glutamatergic receptor	
GRM3	Glutamatergic receptor	
GRM4	Glutamatergic receptor	
GRM5	Glutamatergic receptor	
GRM6	Glutamatergic receptor	
GRM7	Glutamatergic receptor	
GRM8	Glutamatergic receptor	
NGF	Neurotrophic factor	
BDNF	Neurotrophic factor	
NTF3	Neurotrophic factor	
NTF4	Neurotrophic factor	
GDNF	Neurotrophic factor	
NRTN	Neurotrophic factor	
ARTN	Neurotrophic factor	
PSPN	Neurotrophic factor	
CNTF	Neurotrophic factor	
LIF	Neurotrophic factor	
CLCF1	Neurotrophic factor	
OSM	Neurotrophic factor	
FGF1	Neurotrophic factor	
FGF2	Neurotrophic factor	
FGF5	Neurotrophic factor	
FGF9	Neurotrophic factor	
FGF18	Neurotrophic factor	
IGF1	Neurotrophic factor	
IGF2	Neurotrophic factor	
HGF	Neurotrophic factor	
MDK	Neurotrophic factor	
PTN	Neurotrophic factor	
VEGFA	Neurotrophic factor	
VEGFB	Neurotrophic factor	
VEGFC	Neurotrophic factor	
PGF	Neurotrophic factor	
EGF	Neurotrophic factor	
TGFA	Neurotrophic factor	
NRG1	Neurotrophic factor	
NRG2	Neurotrophic factor	
NRG3	Neurotrophic factor	
NRG4	Neurotrophic factor	
BMP2	Neurotrophic factor	
BMP4	Neurotrophic factor	
BMP7	Neurotrophic factor	
GDF5	Neurotrophic factor	
GDF10	Neurotrophic factor	
CXCL12	Neurotrophic factor	
CX3CL1	Neurotrophic factor	
ANGPT1	Neurotrophic factor	
ANGPT2	Neurotrophic factor	
CSF1	Neurotrophic factor	
KITLG	Neurotrophic factor	
DLG1	Postsynaptic scaffold/signaling	
DLG2	Postsynaptic scaffold/signaling	
DLG3	Postsynaptic scaffold/signaling	
DLG4	Postsynaptic scaffold/signaling	
DLG5	Postsynaptic scaffold/signaling	
DLGAP1	Postsynaptic scaffold/signaling	
DLGAP2	Postsynaptic scaffold/signaling	
DLGAP3	Postsynaptic scaffold/signaling	
DLGAP4	Postsynaptic scaffold/signaling	
SHANK1	Postsynaptic scaffold/signaling	
SHANK2	Postsynaptic scaffold/signaling	
SHANK3	Postsynaptic scaffold/signaling	
SYNGAP1	Postsynaptic scaffold/signaling	
HOMER1	Postsynaptic scaffold/signaling	
HOMER2	Postsynaptic scaffold/signaling	
HOMER3	Postsynaptic scaffold/signaling	
NLGN1	Postsynaptic scaffold/signaling	
NLGN2	Postsynaptic scaffold/signaling	
NLGN3	Postsynaptic scaffold/signaling	
NLGN4X	Postsynaptic scaffold/signaling	
NTN1	Axon growth/attraction	
NTN4	Axon growth/attraction	
NTN5	Axon growth/attraction	
SEMA7A	Axon growth/attraction	
SEMA3C	Axon growth/attraction	
EFNB1	Axon growth/attraction	
EFNB2	Axon growth/attraction	
EFNA5	Axon growth/attraction	
NCAM1	Axon growth/attraction	
L1CAM	Axon growth/attraction	
CHL1	Axon growth/attraction	
NRCAM	Axon growth/attraction	
CADM1	Axon growth/attraction	
CCL2	Axon growth/attraction	
SLIT1	Axon repulsion	
SLIT2	Axon repulsion	
SLIT3	Axon repulsion	
ROBO1	Axon repulsion	
ROBO2	Axon repulsion	
ROBO4	Axon repulsion	
SEMA3A	Axon repulsion	
SEMA3B	Axon repulsion	
SEMA3D	Axon repulsion	
SEMA3E	Axon repulsion	
SEMA3F	Axon repulsion	
SEMA4A	Axon repulsion	
SEMA4B	Axon repulsion	
SEMA4C	Axon repulsion	
SEMA4D	Axon repulsion	
SEMA4G	Axon repulsion	
SEMA5A	Axon repulsion	
SEMA5B	Axon repulsion	
SEMA6A	Axon repulsion	
SEMA6B	Axon repulsion	
SEMA6C	Axon repulsion	
SEMA6D	Axon repulsion	
NCAM2	Neural adhesion molecule	
CNTN1	Neural adhesion molecule	
CNTN2	Neural adhesion molecule	
CNTN3	Neural adhesion molecule	
CNTN4	Neural adhesion molecule	
CNTN5	Neural adhesion molecule	
CNTN6	Neural adhesion molecule	
